Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6
1;1;8;10;18;13;1;4;
2;2;14;2;11;3;6;15;
3;3;17;9;12;5;16;7;
4;1;12;8;15;14;16;1;
5;2;10;5;7;11;4;6;
6;3;18;3;17;9;2;13;
7;1;18;6;17;15;7;8;
8;2;5;13;10;12;14;2;
9;3;16;1;3;4;11;9;
10;1;16;11;8;2;17;10;
11;2;1;9;6;14;5;18;
12;3;7;12;13;4;15;3;
13;1;7;18;14;16;10;3;
14;2;4;8;2;6;9;12;
15;3;13;17;5;1;15;11;
16;1;13;6;14;17;4;16;
17;2;2;11;1;18;12;7;
18;3;3;15;9;10;8;5;
19;1;12;1;6;10;3;17;
20;2;15;4;16;2;5;18;
21;3;11;7;9;8;13;14;
22;1;5;16;3;8;13;6;
23;2;4;17;7;1;2;14;
24;3;9;12;15;11;18;10;
25;1;3;7;2;5;1;8;
26;2;11;14;4;12;18;17;
27;3;15;10;16;13;6;9;
28;1;14;3;11;18;8;5;
29;2;6;16;1;7;13;12;
30;3;10;2;4;9;17;15;
31;1;8;2;6;9;1;11;
32;2;4;18;7;3;10;16;
33;3;17;13;12;15;14;5;
34;1;11;13;18;6;16;2;
35;2;1;14;15;7;9;10;
36;3;12;3;5;8;17;4;
37;1;9;4;5;18;13;1;
38;2;8;16;10;14;12;2;
39;3;15;6;3;17;11;7;
40;1;5;16;11;12;9;7;
41;2;6;15;14;4;2;3;
42;3;18;10;1;8;17;13;
43;1;2;10;18;6;12;5;
44;2;1;17;3;16;14;9;
45;3;13;4;11;15;8;7;
46;1;5;14;11;4;6;10;
47;2;3;13;7;9;12;2;
48;3;1;17;15;8;16;18;
