Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6;Boat 7;Boat 8
1;1;4;22;24;14;8;5;3;11;
2;2;1;23;2;10;6;7;9;18;
3;3;19;21;17;20;12;15;16;13;
4;1;9;2;4;3;12;10;5;13;
5;2;8;19;16;1;21;22;23;24;
6;3;6;15;18;11;20;17;14;7;
7;1;23;12;19;2;4;24;7;17;
8;2;18;14;21;15;3;1;10;22;
9;3;16;5;20;9;11;6;13;8;
10;1;16;5;1;24;2;6;17;14;
11;2;20;3;12;8;9;18;21;23;
12;3;7;13;10;22;15;11;4;19;
13;1;7;16;5;21;18;3;4;6;
14;2;22;10;8;17;24;2;15;20;
15;3;14;11;13;12;23;19;1;9;
16;1;10;24;13;16;18;20;1;4;
17;2;15;8;23;5;7;21;11;2;
18;3;17;9;3;19;22;14;6;12;
19;1;17;7;3;13;16;23;8;10;
20;2;5;18;14;9;19;21;24;15;
21;3;12;20;11;6;2;4;22;1;
22;1;21;17;9;7;13;5;22;1;
23;2;24;11;6;23;10;20;19;3;
24;3;2;4;15;18;14;8;12;16;
25;1;11;4;22;18;17;9;23;16;
26;2;3;6;15;8;1;13;2;19;
27;3;12;10;14;24;5;7;20;21;
28;1;15;1;23;3;5;17;20;4;
29;2;10;2;11;14;9;16;19;21;
30;3;13;8;7;6;24;22;18;12;
31;1;11;9;7;16;24;15;2;3;
32;2;1;18;10;19;17;12;8;5;
33;3;6;22;21;4;13;23;20;14;
34;1;19;7;8;4;1;9;20;14;
35;2;18;13;24;17;21;3;11;2;
36;3;23;12;5;22;10;16;15;6;
37;1;23;12;1;11;14;24;13;7;
38;2;8;21;4;15;6;10;17;9;
39;3;22;20;3;2;19;18;5;16;
40;1;21;1;3;12;4;11;6;16;
41;2;13;24;18;23;15;19;9;5;
42;3;2;14;22;10;20;8;7;17;
43;1;4;19;6;5;11;8;18;17;
44;2;24;3;9;20;7;1;12;15;
45;3;14;23;2;21;16;13;10;22;
46;1;9;15;17;1;16;4;24;22;
47;2;20;6;19;7;23;2;21;18;
48;3;5;11;12;13;8;14;3;10;
49;1;5;11;20;17;1;23;18;10;
50;2;3;16;15;19;7;4;14;13;
51;3;9;21;6;8;22;12;2;24;
52;1;18;10;19;7;22;12;16;11;
53;2;6;17;9;24;3;14;23;8;
54;3;2;4;13;21;15;1;5;20;
