Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6;Boat 7
1;1;1;12;27;10;18;20;16;
2;1;6;28;4;7;5;11;3;
3;1;9;24;13;21;14;25;2;
4;1;15;23;26;19;17;8;22;
5;2;11;3;12;1;9;13;26;
6;2;5;27;17;14;21;23;7;
7;2;20;10;15;6;25;4;8;
8;2;18;22;24;16;19;2;28;
9;3;9;22;20;17;4;5;1;
10;3;27;15;2;21;16;26;11;
11;3;3;6;19;12;23;24;25;
12;3;14;7;18;8;28;10;13;
13;4;25;7;23;8;2;11;1;
14;4;4;19;10;14;3;16;17;
15;4;12;5;9;15;24;28;27;
16;4;22;13;6;18;26;21;20;
17;5;2;10;6;27;17;1;28;
18;5;21;20;7;9;19;25;15;
19;5;8;18;5;26;14;3;24;
20;5;23;4;16;13;22;12;11;
21;6;23;21;1;28;15;3;18;
22;6;19;13;20;5;2;8;12;
23;6;17;26;6;4;16;7;24;
24;6;10;25;9;11;27;22;14;
25;7;10;26;28;16;20;9;23;
26;7;8;21;22;2;3;27;4;
27;7;13;19;1;7;15;14;6;
28;7;24;25;11;18;12;17;5;
29;8;19;1;21;26;10;4;12;
30;8;14;15;3;20;11;2;24;
31;8;16;8;23;5;6;18;9;
32;8;27;25;7;28;13;17;22;
33;9;15;3;5;23;13;2;10;
34;9;28;14;26;25;22;12;6;
35;9;16;17;8;20;24;1;21;
36;9;18;9;4;11;7;27;19;
37;10;5;13;15;1;25;27;16;
38;10;2;17;14;4;18;26;20;
39;10;28;9;8;3;12;21;7;
40;10;6;11;10;19;22;23;24;
41;11;18;11;17;10;15;13;21;
42;11;7;16;22;6;12;9;2;
43;11;3;20;5;25;19;27;26;
44;11;24;14;1;28;4;23;8;
45;12;13;6;27;17;1;9;8;
46;12;28;3;16;11;20;19;14;
47;12;18;2;4;12;21;25;23;
48;12;10;22;5;15;24;7;26;
49;13;1;9;28;26;18;2;25;
50;13;10;5;21;8;11;6;19;
51;13;20;24;23;7;4;13;27;
52;13;12;22;16;17;3;15;14;
53;14;6;5;21;23;9;20;14;
54;14;27;12;19;2;28;4;15;
55;14;10;1;7;24;18;22;3;
56;14;11;8;16;13;26;25;17;
57;15;19;2;22;5;1;25;14;
58;15;26;18;11;6;15;27;8;
59;15;4;9;13;24;28;16;21;
60;15;23;20;3;12;7;17;10;
61;16;8;4;7;16;5;25;10;
62;16;3;26;27;13;23;6;2;
63;16;28;24;1;20;21;22;11;
64;16;19;12;14;18;15;9;17;
65;17;20;8;14;24;12;27;16;
66;17;26;21;10;28;17;5;2;
67;17;4;25;15;22;3;6;9;
68;17;18;7;1;19;23;11;13;
69;18;12;5;23;4;1;11;15;
70;18;24;26;7;9;10;14;2;
71;18;16;6;25;21;3;18;27;
72;18;19;22;17;13;20;8;28;
