Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6;Boat 7
1;1;19;2;10;13;5;1;20;
2;1;14;11;17;16;7;3;6;
3;1;21;4;9;8;15;18;12;
4;2;7;4;19;14;21;17;1;
5;2;3;8;5;18;2;6;15;
6;2;12;13;11;10;16;20;9;
7;3;11;13;1;7;6;15;21;
8;3;16;5;4;9;20;14;8;
9;3;17;18;2;12;19;10;3;
10;4;1;20;15;11;17;2;4;
11;4;8;12;3;19;13;7;16;
12;4;9;10;6;21;18;5;14;
13;5;12;16;6;4;1;5;19;
14;5;18;9;7;15;14;13;2;
15;5;11;3;20;17;8;21;10;
16;6;15;7;9;17;5;19;10;
17;6;2;21;16;4;3;11;13;
18;6;20;1;14;6;12;8;18;
19;7;20;1;21;3;12;9;7;
20;7;15;14;18;19;11;16;5;
21;7;6;8;13;2;10;4;17;
22;8;5;16;13;18;21;20;17;
23;8;10;14;12;1;4;15;3;
24;8;7;19;8;2;9;6;11;
25;9;13;17;8;14;9;3;1;
26;9;10;11;12;5;4;7;18;
27;9;21;6;19;15;2;16;20;
28;10;8;7;18;15;10;16;1;
29;10;5;12;11;21;17;14;2;
30;10;19;9;4;3;20;13;6;
31;11;18;9;16;11;1;17;6;
32;11;3;5;2;20;7;10;4;
33;11;14;21;15;8;19;12;13;
34;12;14;21;1;10;2;9;16;
35;12;6;15;5;12;13;3;17;
36;12;4;20;18;7;19;8;11;
37;13;4;15;17;16;12;2;9;
38;13;21;3;8;11;5;19;1;
39;13;7;10;14;20;6;18;13;
40;14;19;3;14;20;11;18;15;
41;14;1;12;13;9;5;2;7;
42;14;17;16;4;6;8;10;21;
43;15;17;19;4;18;13;1;21;
44;15;14;8;2;3;16;7;5;
45;15;12;6;15;9;10;20;11;
46;16;21;3;9;19;10;2;18;
47;16;20;15;16;1;7;17;8;
48;16;6;14;11;12;13;4;5;
49;17;16;18;3;21;7;4;9;
50;17;5;10;1;8;11;15;13;
51;17;2;12;17;6;19;20;14;
52;18;4;5;21;6;7;20;15;
53;18;8;19;9;10;13;14;17;
54;18;1;2;12;16;18;3;11;
