Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6;Boat 7;Boat 8
1;1;22;21;30;17;19;9;1;20;
2;1;5;12;32;27;31;15;28;7;
3;1;2;3;29;11;13;8;10;4;
4;1;26;24;14;18;23;6;25;16;
5;2;11;17;28;15;4;22;25;16;
6;2;6;31;9;2;1;32;13;14;
7;2;3;27;23;19;21;24;5;29;
8;2;18;20;10;7;8;26;12;30;
9;3;25;20;10;28;5;3;6;1;
10;3;16;19;15;29;14;12;9;8;
11;3;32;11;7;21;22;18;23;13;
12;3;27;4;2;30;17;31;26;24;
13;4;8;4;22;5;7;1;14;24;
14;4;10;6;17;9;12;23;27;11;
15;4;13;18;19;31;30;25;3;15;
16;4;28;32;16;20;2;21;29;26;
17;5;28;8;27;6;2;18;22;19;
18;5;23;29;20;4;9;7;31;25;
19;5;21;14;5;26;15;10;13;17;
20;5;1;16;11;12;3;30;24;32;
21;6;31;15;11;8;6;20;24;21;
22;6;7;2;18;3;16;5;17;9;
23;6;29;10;25;14;32;27;30;22;
24;6;1;28;12;13;26;19;4;23;
25;7;9;28;31;22;26;11;14;3;
26;7;12;30;8;23;25;2;21;5;
27;7;4;1;6;32;29;17;15;18;
28;7;19;7;16;24;27;13;20;10;
29;8;19;26;5;8;11;25;32;17;
30;8;30;13;24;9;29;28;7;6;
31;8;31;22;21;10;18;4;16;12;
32;8;15;23;3;1;20;14;2;27;
33;9;30;5;4;18;20;14;11;28;
34;9;17;29;13;23;8;16;1;31;
35;9;24;9;32;15;10;2;19;22;
36;9;3;7;26;25;21;6;27;12;
37;10;2;24;1;25;11;29;18;12;
38;10;20;32;3;13;4;9;8;27;
39;10;16;5;6;26;22;23;15;30;
40;10;14;10;7;21;28;17;19;31;
41;11;27;15;25;21;18;1;9;26;
42;11;17;8;23;10;24;3;28;32;
43;11;7;30;14;16;19;11;4;2;
44;11;29;22;31;6;12;13;5;20;
45;12;29;1;2;11;15;7;26;10;
46;12;9;31;28;16;27;5;8;18;
47;12;32;21;30;19;3;4;23;6;
48;12;14;25;22;12;24;20;17;13;
49;13;21;11;1;27;30;28;16;13;
50;13;25;23;4;24;5;10;2;9;
51;13;20;14;18;29;31;26;32;19;
52;13;15;12;8;17;7;22;6;3;
53;14;10;25;8;31;32;16;6;1;
54;14;11;3;26;22;9;19;29;5;
55;14;18;27;17;20;23;30;7;2;
56;14;24;13;12;4;28;15;21;14;
57;15;8;25;29;23;28;15;30;14;
58;15;12;16;9;2;17;32;20;21;
59;15;13;18;19;5;6;27;10;11;
60;15;22;26;24;7;1;31;3;4;
61;16;6;17;27;14;16;29;3;4;
62;16;26;9;21;30;10;24;18;8;
63;16;5;2;13;28;25;32;22;7;
64;16;23;19;20;1;11;12;31;15;
65;17;4;19;27;17;13;8;26;25;
66;17;18;20;15;3;16;10;22;23;
67;17;9;5;7;32;14;30;12;1;
68;17;24;6;2;28;31;21;11;29;
69;18;8;23;22;14;27;21;11;32;
70;18;19;18;1;5;29;17;24;28;
71;18;13;10;12;26;2;3;30;31;
72;18;16;6;15;25;7;20;4;9;
