Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5
1;1;10;9;1;7;14;
2;1;15;2;13;3;6;
3;1;4;12;8;11;5;
4;2;4;1;7;2;3;
5;2;5;14;9;13;8;
6;2;6;15;10;12;11;
7;3;13;8;3;1;11;
8;3;9;5;4;15;10;
9;3;12;7;14;6;2;
10;4;12;13;15;9;1;
11;4;8;10;2;14;4;
12;4;3;11;6;5;7;
13;5;2;1;6;8;9;
14;5;7;13;5;10;12;
15;5;14;3;11;4;15;
16;6;1;6;5;4;13;
17;6;11;8;7;2;15;
18;6;9;10;12;14;3;
19;7;5;2;12;14;1;
20;7;13;4;11;7;9;
21;7;8;6;15;3;10;
22;8;11;5;2;1;10;
23;8;3;12;4;9;6;
24;8;14;15;8;13;7;
25;9;1;4;8;12;7;
26;9;15;3;9;5;2;
27;9;10;11;14;6;13;
28;10;10;7;3;8;5;
29;10;2;9;13;11;12;
30;10;6;14;1;15;4;
31;11;7;5;1;15;12;
32;11;3;13;10;2;4;
33;11;14;11;9;6;8;
34;12;4;12;15;13;8;
35;12;6;9;7;10;2;
36;12;5;3;11;1;14;
