Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6
1;1;12;13;1;7;5;14;
2;1;15;16;2;6;4;17;
3;1;8;10;3;9;11;18;
4;2;4;2;13;1;17;18;
5;2;9;15;12;3;14;8;
6;2;16;11;6;5;10;7;
7;3;1;11;6;12;2;3;
8;3;14;18;5;8;16;4;
9;3;10;17;7;13;9;15;
10;4;5;1;11;4;8;15;
11;4;6;9;17;18;7;12;
12;4;2;14;16;10;3;13;
13;5;17;8;16;10;12;1;
14;5;3;5;4;9;13;6;
15;5;18;7;14;2;15;11;
16;6;18;3;10;12;15;5;
17;6;13;14;8;11;6;17;
18;6;7;4;9;16;1;2;
19;7;7;8;5;17;3;2;
20;7;6;13;1;15;18;16;
21;7;11;12;10;14;4;9;
22;8;3;16;18;14;17;1;
23;8;12;2;9;13;5;11;
24;8;8;7;15;4;6;10;
25;9;17;5;15;1;14;9;
26;9;2;10;8;6;18;13;
27;9;16;3;12;11;7;4;
28;10;14;6;12;2;1;10;
29;10;15;9;13;16;8;3;
30;10;5;18;4;17;11;7;
31;11;13;1;4;3;10;7;
32;11;9;12;18;8;2;5;
33;11;11;6;17;15;16;14;
34;12;1;6;7;8;9;14;
35;12;10;17;3;5;2;16;
36;12;4;15;11;18;13;12;
37;13;16;9;11;18;10;1;
38;13;17;4;14;13;12;8;
39;13;5;3;2;15;7;6;
40;14;12;13;2;16;7;8;
41;14;6;14;18;4;9;3;
42;14;1;15;10;5;17;11;
43;15;4;12;6;5;16;9;
44;15;15;2;14;7;18;10;
45;15;8;1;3;17;11;13;
46;16;14;5;16;10;11;13;
47;16;2;8;9;1;4;15;
48;16;3;18;17;7;12;6;
