Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6
1;1;16;6;17;15;2;4;
2;1;7;1;12;5;13;14;
3;1;11;18;9;8;3;10;
4;2;17;18;1;2;7;5;
5;2;12;15;3;14;6;11;
6;2;4;16;13;10;8;9;
7;3;3;16;14;17;8;1;
8;3;10;13;7;6;11;2;
9;3;5;12;18;9;4;15;
10;4;6;14;18;16;10;7;
11;4;9;17;5;3;15;13;
12;4;1;2;11;4;12;8;
13;5;1;10;6;4;5;3;
14;5;15;8;2;13;14;18;
15;5;11;7;9;12;16;17;
16;6;18;13;6;12;1;17;
17;6;2;3;4;7;14;9;
18;6;8;5;15;11;10;16;
19;7;8;9;15;1;6;7;
20;7;13;4;16;11;18;3;
21;7;14;5;10;2;17;12;
22;8;14;11;1;13;9;16;
23;8;15;10;17;18;7;4;
24;8;2;3;8;5;12;6;
25;9;2;9;16;5;18;6;
26;9;13;12;3;15;1;10;
27;9;7;11;4;8;17;14;
28;10;10;1;2;9;15;14;
29;10;18;7;12;16;3;8;
30;10;6;4;13;17;5;11;
31;11;3;15;13;7;16;2;
32;11;17;8;10;6;9;12;
33;11;4;14;5;18;11;1;
34;12;4;12;16;10;15;1;
35;12;9;17;11;3;2;18;
36;12;5;6;8;14;13;7;
37;13;11;6;8;1;18;15;
38;13;16;17;14;3;10;5;
39;13;12;2;7;9;4;13;
40;14;17;2;3;1;4;8;
41;14;10;13;14;6;12;18;
42;14;7;15;5;11;16;9;
43;15;7;1;10;11;13;17;
44;15;9;3;15;14;6;4;
45;15;16;8;18;2;5;12;
46;16;1;9;18;10;7;3;
47;16;6;14;12;16;11;2;
48;16;15;5;4;8;17;13;
