Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6;Boat 7;Boat 8;Boat 9
1;1;4;22;23;9;21;16;24;2;7;
2;1;14;18;12;10;25;27;1;5;17;
3;1;15;11;13;8;20;6;3;26;19;
4;2;5;11;22;8;14;1;3;17;16;
5;2;7;15;18;4;2;26;19;9;25;
6;2;6;10;20;27;12;21;23;24;13;
7;3;25;26;7;3;1;14;23;16;13;
8;3;17;2;4;21;18;11;12;20;15;
9;3;27;9;19;5;24;10;22;8;6;
10;4;18;13;19;1;7;10;22;11;21;
11;4;9;25;2;12;5;15;6;23;3;
12;4;16;27;24;26;8;20;17;4;14;
13;5;16;12;24;26;3;22;15;10;18;
14;5;19;8;27;25;23;2;14;21;11;
15;5;20;5;17;7;6;13;4;1;9;
16;6;20;14;10;15;11;24;25;1;9;
17;6;12;19;6;16;17;7;8;18;23;
18;6;13;3;5;2;22;4;21;27;26;
19;7;1;20;16;2;22;12;9;19;26;
20;7;23;5;8;14;15;18;10;13;4;
21;7;11;21;25;6;27;17;7;3;24;
22;8;11;4;26;6;9;23;18;14;22;
23;8;21;7;1;24;8;5;27;15;12;
24;8;10;17;3;13;16;19;20;25;2;
25;9;8;23;3;18;26;9;20;21;1;
26;9;2;6;14;22;10;15;17;7;27;
27;9;24;16;11;19;4;25;13;12;5;
28;10;3;1;21;19;4;14;6;12;10;
29;10;22;24;25;20;18;8;2;5;7;
30;10;26;13;9;17;27;16;11;23;15;
31;11;2;18;1;17;27;19;5;23;24;
32;11;6;21;15;14;13;25;16;22;20;
33;11;10;7;9;11;12;3;26;4;8;
34;12;17;27;15;23;19;22;25;4;1;
35;12;3;8;2;24;13;18;14;9;12;
36;12;26;20;21;11;10;7;5;6;16;
37;13;26;22;21;12;25;13;9;17;8;
38;13;18;2;27;4;24;1;16;6;11;
39;13;19;15;10;23;14;5;7;3;20;
40;14;19;15;16;18;9;24;21;3;17;
41;14;23;25;11;10;2;6;1;8;22;
42;14;7;14;5;27;26;4;12;20;13;
43;15;1;16;8;15;26;4;2;10;13;
44;15;14;9;6;25;5;27;18;19;21;
45;15;24;17;12;22;3;20;11;7;23;
46;16;8;1;12;9;15;21;11;16;5;
47;16;22;10;26;20;23;3;4;18;25;
48;16;27;24;14;7;19;17;13;2;6;
