Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4
1;1;8;1;7;3;
2;1;5;4;6;2;
3;2;3;4;6;1;
4;2;7;8;2;5;
5;3;1;8;2;6;
6;3;3;7;5;4;
7;4;3;2;5;1;
8;4;4;7;8;6;
9;5;4;7;1;2;
10;5;5;6;3;8;
11;6;5;1;4;8;
12;6;6;2;3;7;
13;7;6;5;1;7;
14;7;2;3;8;4;
15;8;1;5;8;4;
16;8;7;6;2;3;
17;9;4;6;2;8;
18;9;1;3;7;5;
19;10;1;8;7;6;
20;10;2;3;4;5;
21;11;8;3;4;7;
22;11;6;1;5;2;
23;12;6;1;3;4;
24;12;8;5;7;2;
25;13;4;5;7;6;
26;13;8;2;3;1;
27;14;7;2;4;1;
28;14;3;6;5;8;
29;15;2;4;1;7;
30;15;5;8;6;3;
31;16;5;7;2;3;
32;16;4;6;8;1;
33;17;2;3;8;1;
34;17;7;4;6;5;
35;18;7;8;1;5;
36;18;6;2;3;4;
37;19;6;1;3;7;
38;19;2;5;4;8;
39;20;2;7;6;8;
40;20;1;4;5;3;
41;21;1;2;5;6;
42;21;8;7;4;3;
43;22;5;6;4;2;
44;22;3;8;1;7;
45;23;3;4;1;5;
46;23;8;2;7;6;
47;24;8;1;5;6;
48;24;7;3;2;4;
