Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4
1;1;6;7;2;3;
2;1;1;11;12;4;
3;1;5;8;9;10;
4;2;5;3;1;10;
5;2;4;2;7;8;
6;2;9;12;11;6;
7;3;9;1;3;2;
8;3;11;4;6;5;
9;3;12;10;8;7;
10;4;2;6;8;1;
11;4;3;5;4;12;
12;4;7;9;10;11;
13;5;2;9;5;12;
14;5;10;4;1;6;
15;5;7;11;3;8;
16;6;7;6;5;1;
17;6;8;3;4;9;
18;6;11;12;10;2;
19;7;4;1;9;7;
20;7;8;2;11;5;
21;7;6;10;12;3;
22;8;1;5;7;11;
23;8;3;10;2;4;
24;8;12;8;6;9;
25;9;1;8;11;3;
26;9;12;7;5;2;
27;9;10;6;4;9;
28;10;5;7;3;9;
29;10;6;11;2;4;
30;10;8;1;12;10;
31;11;4;1;12;7;
32;11;9;2;10;11;
33;11;3;5;6;8;
34;12;2;9;6;1;
35;12;10;4;8;5;
36;12;11;3;7;12;
37;13;5;10;7;6;
38;13;11;4;9;3;
39;13;8;12;1;2;
40;14;3;11;1;10;
41;14;4;2;5;12;
42;14;6;9;8;7;
