Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6
1;1;4;15;2;6;17;16;
2;1;7;5;1;12;13;14;
3;1;11;8;3;9;18;10;
4;2;15;1;6;14;18;13;
5;2;2;11;16;10;5;7;
6;2;3;17;9;4;8;12;
7;3;1;17;18;16;8;5;
8;3;14;7;10;15;9;4;
9;3;6;12;11;13;3;2;
10;4;10;12;8;1;16;15;
11;4;18;4;13;2;7;3;
12;4;17;9;5;11;14;6;
13;5;17;10;7;3;1;6;
14;5;8;13;15;5;2;9;
15;5;16;14;12;18;4;11;
16;6;1;3;5;15;4;11;
17;6;12;2;9;17;10;18;
18;6;13;16;14;7;6;8;
19;7;9;16;14;3;1;2;
20;7;4;11;17;13;10;8;
21;7;5;6;15;7;12;18;
22;8;5;10;3;17;12;14;
23;8;8;6;18;4;2;1;
24;8;13;9;7;11;15;16;
25;9;6;9;4;1;5;10;
26;9;2;14;12;8;11;7;
27;9;3;18;13;16;15;17;
28;10;11;18;1;9;7;17;
29;10;15;8;2;14;3;5;
30;10;12;13;6;10;16;4;
31;11;12;15;17;2;11;1;
32;11;16;7;8;6;9;3;
33;11;18;4;10;5;14;13;
34;12;9;1;16;5;12;13;
35;12;14;2;4;8;17;7;
36;12;10;3;11;18;6;15;
37;13;10;14;2;18;16;9;
38;13;7;4;1;15;3;12;
39;13;8;5;6;17;13;11;
40;14;9;15;6;4;14;11;
41;14;16;7;8;12;5;18;
42;14;17;1;10;3;13;2;
43;15;5;11;16;3;4;2;
44;15;14;8;12;6;1;10;
45;15;15;18;13;7;17;9;
46;16;1;18;11;14;8;3;
47;16;7;5;17;16;10;15;
48;16;4;13;9;12;2;6;
