Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6
1;1;1;6;3;21;9;12;
2;1;8;5;24;4;15;7;
3;1;22;16;20;2;18;17;
4;1;11;19;23;13;14;10;
5;2;11;3;18;22;4;15;
6;2;10;23;1;7;16;21;
7;2;12;14;13;9;8;2;
8;2;17;20;5;24;19;6;
9;3;23;2;5;15;13;1;
10;3;3;24;22;17;7;14;
11;3;9;21;10;18;20;4;
12;3;16;12;6;8;11;19;
13;4;7;1;15;20;11;9;
14;4;4;17;8;23;3;6;
15;4;14;18;21;19;2;5;
16;4;13;22;10;12;24;16;
17;5;18;15;14;12;17;23;
18;5;2;24;4;11;1;16;
19;5;5;7;9;10;6;22;
20;5;21;8;19;3;20;13;
21;6;21;11;7;5;17;13;
22;6;19;10;2;15;12;3;
23;6;6;4;14;1;22;20;
24;6;24;9;18;16;23;8;
25;7;1;19;17;22;10;8;
26;7;9;16;11;3;5;14;
27;7;20;2;12;7;23;4;
28;7;18;15;13;6;21;24;
29;8;2;23;22;6;21;11;
30;8;12;18;24;1;3;5;
31;8;17;13;7;19;4;9;
32;8;15;8;16;14;10;20;
33;9;13;6;1;14;7;18;
34;9;8;20;3;11;2;10;
35;9;5;4;17;21;16;12;
36;9;19;22;15;23;9;24;
37;10;7;22;12;8;18;11;
38;10;10;17;9;2;6;15;
39;10;24;1;21;4;14;19;
40;10;16;3;20;13;5;23;
41;11;6;14;4;10;5;23;
42;11;3;7;16;18;19;2;
43;11;20;12;11;9;24;17;
44;11;15;21;8;1;13;22;
45;12;20;9;19;5;12;22;
46;12;4;13;6;16;15;3;
47;12;11;10;23;17;1;18;
48;12;14;7;2;24;8;21;
49;13;9;5;2;17;8;1;
50;13;6;12;15;19;16;7;
51;13;10;11;18;24;13;4;
52;13;23;14;21;20;22;3;
53;14;23;19;4;8;18;9;
54;14;22;16;5;11;15;14;
55;14;7;17;12;21;3;10;
56;14;13;24;20;6;2;1;
57;15;17;9;3;16;14;1;
58;15;2;4;10;22;12;13;
59;15;24;21;23;15;11;19;
60;15;5;8;7;18;20;6;
61;16;19;13;17;14;20;11;
62;16;16;6;9;10;21;18;
63;16;3;2;22;23;7;24;
64;16;8;5;1;12;4;15;
