Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5
1;1;4;1;2;6;7;
2;1;10;8;9;3;5;
3;2;10;8;1;7;2;
4;2;6;5;4;9;3;
5;3;8;2;7;9;3;
6;3;5;4;6;10;1;
7;4;5;4;3;8;2;
8;4;7;9;10;1;6;
9;5;2;3;10;1;4;
10;5;6;7;8;5;9;
11;6;1;3;8;4;9;
12;6;7;6;5;2;10;
13;7;9;1;5;2;8;
14;7;3;10;4;6;7;
15;8;3;2;1;5;7;
16;8;8;6;9;10;4;
17;9;8;6;3;7;1;
18;9;9;10;2;4;5;
19;10;3;10;2;8;6;
20;10;1;9;7;4;5;
21;11;1;9;6;3;2;
22;11;4;5;7;8;10;
23;12;9;3;7;1;10;
24;12;2;8;6;5;4;
25;13;2;7;6;9;4;
26;13;10;5;1;3;8;
27;14;10;7;4;2;8;
28;14;5;1;3;6;9;
29;15;5;4;3;7;8;
30;15;6;2;9;10;1;
