Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6;Boat 7;Boat 8;Boat 9;Boat 10
1;1;30;26;3;16;13;27;1;11;15;21;
2;1;29;22;12;20;8;18;6;2;9;25;
3;1;23;19;7;5;10;28;14;17;4;24;
4;2;22;29;7;5;1;21;8;3;4;20;
5;2;12;16;9;2;23;10;27;28;19;26;
6;2;6;11;13;15;18;14;30;24;25;17;
7;3;6;11;16;3;2;8;28;5;23;17;
8;3;24;25;15;7;30;1;26;22;10;12;
9;3;13;20;27;19;9;29;18;4;21;14;
10;4;13;8;10;17;9;25;16;4;1;28;
11;4;11;18;19;21;26;5;24;29;2;22;
12;4;20;27;14;23;3;12;15;30;7;6;
13;5;18;1;14;23;16;22;2;30;7;13;
14;5;25;15;28;27;5;19;3;8;24;9;
15;5;21;10;29;26;17;11;20;6;12;4;
16;6;21;10;23;30;25;3;19;6;18;1;
17;6;5;13;2;4;15;7;9;12;11;29;
18;6;8;17;24;14;27;20;22;26;28;16;
19;7;8;12;24;11;27;4;23;1;29;18;
20;7;2;3;25;13;20;26;17;19;30;7;
21;7;28;14;5;9;22;6;10;21;16;15;
22;8;3;14;26;29;4;2;10;18;8;15;
23;8;9;21;22;28;11;23;7;25;17;27;
24;8;1;24;20;12;6;30;13;16;5;19;
25;9;1;24;21;12;14;17;29;9;3;2;
26;9;26;28;4;18;7;16;25;27;6;5;
27;9;10;30;8;22;19;15;11;20;13;23;
28;10;17;9;18;1;29;15;5;20;26;23;
29;10;19;4;11;25;28;16;12;14;22;3;
30;10;7;2;30;6;24;13;21;8;27;10;
31;11;22;5;17;3;12;13;29;18;27;10;
32;11;16;23;2;25;21;24;4;15;20;30;
33;11;9;6;11;19;26;1;28;7;14;8;
34;12;27;6;15;19;22;1;17;29;2;4;
35;12;20;7;3;24;18;9;16;10;28;11;
36;12;14;26;25;8;13;5;30;23;21;12;
