Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6
1;1;15;17;4;6;16;2;
2;1;5;12;7;13;1;14;
3;1;18;9;11;3;8;10;
4;2;18;7;2;5;17;1;
5;2;12;14;6;11;15;3;
6;2;10;16;13;8;4;9;
7;3;1;6;18;8;4;12;
8;3;16;2;14;10;3;7;
9;3;17;11;9;15;5;13;
10;4;3;8;1;2;6;13;
11;4;11;10;17;7;12;4;
12;4;9;18;5;16;14;15;
13;5;9;4;3;1;14;17;
14;5;2;5;15;12;10;8;
15;5;6;13;16;18;7;11;
16;6;6;3;8;4;7;5;
17;6;11;1;12;9;2;16;
18;6;14;15;10;17;13;18;
19;7;7;15;10;1;9;6;
20;7;13;12;3;4;18;2;
21;7;8;17;16;14;11;5;
22;8;8;9;2;14;18;7;
23;8;15;4;5;3;11;1;
24;8;10;6;17;16;13;12;
25;9;7;8;17;15;9;12;
26;9;3;1;18;5;16;10;
27;9;4;13;14;2;6;11;
28;10;4;7;15;18;12;16;
29;10;2;5;6;17;3;9;
30;10;13;10;1;11;8;14;
31;11;5;10;4;9;2;14;
32;11;17;11;12;6;1;18;
33;11;16;3;7;13;15;8;
34;12;6;18;9;13;5;4;
35;12;14;16;8;12;17;3;
36;12;1;2;11;7;10;15;
