Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6;Boat 7;Boat 8;Boat 9
1;1;2;21;9;24;16;4;7;22;23;
2;1;1;25;14;12;17;27;18;10;5;
3;1;3;13;6;15;8;19;11;20;26;
4;2;9;22;1;5;8;21;11;20;25;
5;2;17;7;18;4;19;2;12;13;15;
6;2;10;3;23;16;24;26;27;6;14;
7;3;4;1;20;16;13;18;27;6;21;
8;3;12;14;5;2;26;8;15;23;22;
9;3;25;17;7;10;9;3;24;11;19;
10;4;25;16;7;14;18;3;22;15;20;
11;4;26;11;27;17;21;5;2;24;13;
12;4;23;6;4;8;10;9;19;12;1;
13;5;20;24;2;21;10;15;3;12;1;
14;5;11;18;26;25;23;13;4;14;9;
15;5;6;8;19;22;27;7;5;17;16;
16;6;6;26;25;3;2;7;5;1;4;
17;6;24;20;8;23;11;12;17;16;18;
18;6;22;9;13;19;15;14;21;27;10;
19;7;18;9;24;7;15;1;26;27;8;
20;7;13;23;17;20;22;10;6;25;2;
21;7;5;19;3;12;4;16;14;21;11;
22;8;27;19;3;18;1;22;23;2;11;
23;8;21;10;4;26;7;20;14;8;17;
24;8;16;12;15;13;5;6;25;9;24;
25;9;16;2;1;13;14;17;8;9;3;
26;9;19;4;22;27;25;24;20;26;12;
27;9;15;5;21;11;6;23;10;18;7;
28;10;15;5;17;9;3;23;20;4;27;
29;10;8;2;14;24;18;25;21;19;6;
30;10;7;22;10;1;12;11;16;13;26;
31;11;23;15;21;1;19;17;16;25;26;
32;11;14;27;11;6;20;12;9;7;2;
33;11;10;24;22;18;4;8;13;3;5;
34;12;10;20;16;18;2;9;26;19;5;
35;12;8;21;12;23;3;27;25;7;13;
36;12;22;17;15;6;11;24;1;4;14;
37;13;13;7;19;20;23;24;1;5;14;
38;13;9;12;26;3;21;18;22;17;6;
39;13;2;8;16;15;25;4;10;11;27;
40;14;17;18;20;21;25;19;23;24;22;
41;14;7;27;5;11;6;14;8;16;10;
42;14;4;1;9;26;13;2;15;3;12;
43;15;11;23;9;10;17;22;15;3;8;
44;15;27;14;25;19;1;21;4;2;16;
45;15;24;26;6;7;12;13;18;5;20;
46;16;19;26;10;9;14;1;18;5;23;
47;16;20;11;12;25;22;16;2;15;7;
48;16;21;4;13;27;24;6;17;8;3;
