Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6
1;1;24;8;7;4;15;5;
2;1;3;12;9;21;6;1;
3;1;19;10;23;11;14;13;
4;1;2;20;22;18;17;16;
5;2;23;21;10;1;7;16;
6;2;4;18;15;22;3;11;
7;2;13;9;2;12;8;14;
8;2;17;24;5;20;19;6;
9;3;1;23;5;15;13;2;
10;3;14;3;24;17;22;7;
11;3;21;4;20;10;9;18;
12;3;6;11;16;8;12;19;
13;4;5;2;18;14;21;19;
14;4;17;6;4;3;23;8;
15;4;7;1;11;9;20;15;
16;4;10;13;12;16;24;22;
17;5;8;13;3;19;21;20;
18;5;11;4;1;2;16;24;
19;5;22;7;6;5;10;9;
20;5;15;12;14;23;18;17;
21;6;20;22;14;6;1;4;
22;6;12;15;19;3;2;10;
23;6;11;17;13;7;5;21;
24;6;9;16;8;18;24;23;
25;7;22;10;8;19;1;17;
26;7;5;14;16;9;11;3;
27;7;23;7;20;2;4;12;
28;7;21;6;13;24;18;15;
29;8;12;5;1;24;18;3;
30;8;6;2;21;11;23;22;
31;8;7;19;17;13;9;4;
32;8;16;15;10;8;14;20;
33;9;16;21;4;5;17;12;
34;9;9;19;24;15;22;23;
35;9;13;14;6;1;7;18;
36;9;10;3;11;20;8;2;
37;10;19;1;21;14;4;24;
38;10;15;17;9;10;2;6;
39;10;18;22;7;12;11;8;
40;10;20;23;3;13;16;5;
41;11;1;8;22;13;15;21;
42;11;3;18;2;16;19;7;
43;11;14;5;23;4;6;10;
44;11;24;9;12;17;20;11;
45;12;4;16;15;6;3;13;
46;12;12;20;19;22;5;9;
47;12;2;24;7;21;8;14;
48;12;18;11;17;23;10;1;
49;13;8;9;17;5;2;1;
50;13;4;11;18;10;13;24;
51;13;21;20;22;23;3;14;
52;13;15;19;16;7;12;6;
53;14;10;21;3;7;12;17;
54;14;16;22;11;15;14;5;
55;14;6;1;24;2;20;13;
56;14;19;4;8;9;23;18;
