Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4
1;1;8;7;4;6;
2;1;2;1;3;5;
3;2;4;1;6;7;
4;2;5;3;2;8;
5;3;1;4;2;8;
6;3;7;6;5;3;
7;4;7;8;1;3;
8;4;6;5;4;2;
9;5;6;5;8;1;
10;5;3;2;7;4;
11;6;6;2;7;1;
12;6;5;8;3;4;
13;7;1;6;3;4;
14;7;8;7;5;2;
15;8;4;7;5;1;
16;8;3;2;8;6;
17;9;1;4;8;6;
18;9;2;3;7;5;
19;10;2;6;1;5;
20;10;8;3;4;7;
21;11;5;3;4;1;
22;11;2;8;6;7;
23;12;2;4;6;3;
24;12;7;5;1;8;
25;13;7;5;2;4;
26;13;1;6;8;3;
27;14;1;7;2;3;
28;14;4;8;6;5;
29;15;4;8;1;2;
30;15;3;5;7;6;
31;16;3;2;7;8;
32;16;6;1;5;4;
33;17;7;1;3;4;
34;17;5;6;8;2;
35;18;5;3;8;1;
36;18;6;4;2;7;
37;19;8;4;5;7;
38;19;3;1;6;2;
39;20;3;7;6;5;
40;20;4;2;1;8;
