Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6
1;1;5;11;4;9;13;1;
2;1;7;2;6;8;10;17;
3;1;16;14;18;15;3;12;
4;2;16;14;2;1;9;8;
5;2;3;13;11;6;18;7;
6;2;17;5;10;12;4;15;
7;3;6;1;10;14;4;18;
8;3;11;12;7;5;2;16;
9;3;9;17;15;3;8;13;
10;4;2;17;1;18;12;13;
11;4;10;9;5;7;14;3;
12;4;4;16;8;11;15;6;
13;5;4;16;17;18;7;9;
14;5;13;15;14;2;6;5;
15;5;8;3;12;11;1;10;
16;6;15;7;16;13;1;10;
17;6;18;8;3;4;5;2;
18;6;12;6;9;17;11;14;
19;7;12;8;13;4;7;14;
20;7;15;18;9;10;2;11;
21;7;6;17;1;5;16;3;
22;8;14;17;1;7;11;15;
23;8;8;9;5;12;18;6;
24;8;10;3;16;2;13;4;
25;9;1;7;15;6;12;9;
26;9;18;10;13;16;5;8;
27;9;11;4;3;14;17;2;
28;10;5;4;7;1;15;2;
29;10;3;13;6;16;9;12;
30;10;11;18;14;8;10;17;
31;11;9;18;2;15;16;17;
32;11;14;12;4;10;3;1;
33;11;7;11;8;13;6;5;
34;12;2;10;12;9;6;4;
35;12;13;5;11;17;14;16;
36;12;1;15;18;3;8;7;
37;13;9;15;5;3;10;11;
38;13;6;1;16;8;2;14;
39;13;13;4;12;7;17;18;
40;14;16;4;11;1;9;8;
41;14;12;2;17;5;7;3;
42;14;18;6;10;13;14;15;
43;15;17;6;3;4;8;15;
44;15;1;12;2;11;13;18;
45;15;10;5;14;9;16;7;
46;16;4;11;8;15;16;12;
47;16;2;13;7;14;3;9;
48;16;5;1;18;6;17;10;
