Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6
1;1;1;5;11;9;13;4;
2;1;17;7;8;10;6;2;
3;1;14;18;3;16;12;15;
4;2;5;10;3;17;1;15;
5;2;7;6;9;4;18;14;
6;2;8;12;13;11;2;16;
7;3;10;1;13;14;7;16;
8;3;11;4;17;2;15;18;
9;3;12;9;6;8;3;5;
10;4;12;14;6;1;17;11;
11;4;3;2;18;13;10;9;
12;4;16;8;15;5;4;7;
13;5;2;1;15;12;9;7;
14;5;4;17;14;3;8;13;
15;5;18;16;5;6;11;10;
16;6;18;3;1;7;11;8;
17;6;9;2;16;5;14;17;
18;6;6;13;4;15;12;10;
19;7;6;3;4;2;16;1;
20;7;15;11;10;14;9;8;
21;7;13;17;7;18;5;12;
22;8;13;15;7;11;6;3;
23;8;10;4;12;17;16;9;
24;8;8;18;2;1;14;5;
25;9;3;7;12;4;10;11;
26;9;5;15;2;6;13;14;
27;9;9;16;1;18;8;17;
28;10;11;5;14;10;7;2;
29;10;4;13;8;12;1;18;
30;10;15;9;17;16;3;6;
31;11;2;8;11;16;3;4;
32;11;12;6;10;9;5;1;
33;11;17;14;18;13;15;7;
34;12;2;14;5;3;4;12;
35;12;1;10;15;8;18;6;
36;12;16;11;9;7;17;13;
37;13;14;11;6;4;17;1;
38;13;7;12;16;15;5;8;
39;13;9;18;10;13;2;3;
40;14;6;8;7;12;2;17;
41;14;13;3;14;1;16;10;
42;14;5;15;18;9;4;11;
43;15;3;15;1;9;7;2;
44;15;8;5;17;10;13;4;
45;15;16;6;11;18;12;14;
46;16;10;9;4;7;8;14;
47;16;11;17;3;5;18;12;
48;16;15;2;13;6;1;16;
