Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6
1;1;14;1;7;12;5;13;
2;1;4;2;15;17;16;6;
3;1;18;9;3;8;11;10;
4;2;18;6;4;7;11;1;
5;2;2;3;5;10;17;14;
6;2;16;8;9;15;13;12;
7;3;7;8;17;4;3;12;
8;3;9;14;18;2;1;16;
9;3;15;13;6;11;10;5;
10;4;1;12;6;9;10;17;
11;4;3;16;11;13;14;4;
12;4;5;2;8;18;7;15;
13;5;14;4;10;18;12;15;
14;5;6;7;13;3;9;2;
15;5;17;5;16;1;8;11;
16;6;17;15;13;1;18;3;
17;6;12;11;2;5;4;9;
18;6;8;10;14;16;6;7;
19;7;8;10;1;13;2;4;
20;7;16;5;12;6;3;18;
21;7;7;17;14;9;15;11;
22;8;7;1;10;3;15;16;
23;8;11;18;2;17;12;13;
24;8;6;9;5;14;4;8;
25;9;10;7;12;11;16;2;
26;9;5;3;4;15;9;1;
27;9;13;18;17;8;14;6;
28;10;15;11;1;8;2;6;
29;10;9;14;3;12;13;7;
30;10;10;17;16;4;18;5;
31;11;3;12;15;2;18;8;
32;11;4;13;9;7;17;10;
33;11;1;16;11;5;6;14;
34;12;13;16;18;5;7;9;
35;12;11;4;12;6;8;3;
36;12;2;15;10;14;1;17;
37;13;12;9;8;16;1;17;
38;13;14;15;7;11;4;18;
39;13;13;6;3;10;5;2;
40;14;12;6;7;17;5;15;
41;14;9;18;11;10;3;1;
42;14;2;13;14;4;8;16;
43;15;18;13;1;4;6;12;
44;15;3;2;17;7;16;11;
45;15;10;14;5;15;9;8;
46;16;10;12;16;15;11;13;
47;16;6;17;18;2;14;9;
48;16;5;3;8;1;7;4;
