Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5
1;1;3;11;15;10;9;
2;1;5;8;1;13;14;
3;1;2;4;6;12;7;
4;2;10;14;6;1;15;
5;2;7;3;5;2;8;
6;2;13;9;11;4;12;
7;3;1;10;8;4;2;
8;3;14;5;12;3;11;
9;3;9;15;7;6;13;
10;4;12;15;3;2;1;
11;4;8;7;9;14;4;
12;4;11;13;10;5;6;
13;5;9;1;4;5;6;
14;5;15;14;2;7;11;
15;5;3;12;13;8;10;
16;6;14;5;13;9;2;
17;6;7;12;10;11;1;
18;6;6;4;8;15;3;
19;7;1;13;14;7;3;
20;7;8;2;11;6;9;
21;7;4;10;12;15;5;
22;8;4;2;1;11;13;
23;8;6;9;3;10;14;
24;8;15;8;7;12;5;
25;9;11;8;14;12;6;
26;9;5;7;9;1;10;
27;9;2;3;13;4;15;
28;10;14;3;5;4;11;
29;10;10;6;2;13;7;
30;10;9;1;15;8;12;
31;11;6;1;4;7;3;
32;11;13;11;5;15;8;
33;11;10;12;14;9;2;
34;12;3;11;8;9;7;
35;12;4;14;15;10;13;
36;12;12;6;2;5;1;
37;13;15;7;11;14;1;
38;13;5;2;10;8;4;
39;13;12;13;6;3;9;
40;14;1;10;6;11;8;
41;14;13;4;7;14;12;
42;14;2;15;9;3;5;
43;15;11;12;9;1;4;
44;15;7;5;3;13;10;
45;15;8;6;15;2;14;
46;16;8;9;1;13;14;
47;16;10;11;4;2;3;
48;16;7;5;12;6;15;
49;17;13;2;12;8;11;
50;17;9;7;10;15;4;
51;17;1;6;3;14;5;
52;18;1;15;13;9;2;
53;18;5;4;7;11;6;
54;18;12;14;8;3;10;
55;19;15;13;11;6;10;
56;19;3;1;2;7;12;
57;19;14;8;4;5;9;
58;20;6;8;4;12;13;
59;20;2;9;14;10;7;
60;20;11;3;5;1;15;
