Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6
1;1;18;15;6;8;2;11;
2;1;1;23;5;19;14;22;
3;1;20;13;9;16;12;4;
4;1;7;3;21;10;24;17;
5;2;13;20;1;22;24;8;
6;2;14;21;11;12;10;15;
7;2;9;17;2;3;5;19;
8;2;16;7;23;6;4;18;
9;3;15;22;19;13;4;3;
10;3;24;2;14;18;20;16;
11;3;10;6;17;11;1;9;
12;3;21;8;12;7;23;5;
13;4;21;1;3;9;18;13;
14;4;11;12;22;2;16;7;
15;4;23;4;8;24;19;10;
16;4;17;5;20;15;6;14;
17;5;19;8;16;15;9;21;
18;5;2;10;7;14;13;6;
19;5;3;5;4;20;11;1;
20;5;22;18;24;23;17;12;
21;6;4;9;24;5;7;15;
22;6;23;11;13;17;21;2;
23;6;8;16;14;3;22;6;
24;6;12;19;18;1;10;20;
25;7;2;14;4;1;17;8;
26;7;22;16;10;18;21;5;
27;7;20;15;9;7;3;23;
28;7;6;11;12;19;13;24;
29;8;1;17;23;16;15;24;
30;8;18;19;7;14;11;9;
31;8;4;6;21;22;2;20;
32;8;13;10;3;5;8;12;
33;9;9;23;11;20;8;22;
34;9;5;2;15;13;16;10;
35;9;17;12;18;4;3;14;
36;9;19;7;6;21;24;1;
37;10;11;14;5;21;24;4;
38;10;6;3;19;10;23;16;
39;10;12;1;22;9;15;2;
40;10;7;13;17;8;20;18;
41;11;14;13;16;11;1;23;
42;11;5;24;8;6;9;18;
43;11;3;21;20;2;12;19;
44;11;15;22;10;4;7;17;
45;12;15;24;2;23;18;3;
46;12;10;9;13;14;22;21;
47;12;16;20;19;17;5;11;
48;12;8;4;1;12;6;7;
49;13;8;16;11;3;22;7;
50;13;21;18;15;4;19;1;
51;13;2;20;10;24;14;9;
52;13;6;5;23;17;12;13;
53;14;1;8;2;10;11;3;
54;14;23;6;20;21;14;15;
55;14;24;9;4;16;17;12;
56;14;5;18;7;13;19;22;
57;15;11;18;9;23;10;4;
58;15;17;14;13;15;8;19;
59;15;24;22;3;12;20;6;
60;15;16;7;1;2;5;21;
61;16;12;3;1;18;5;14;
62;16;9;17;21;6;16;8;
63;16;4;23;22;19;2;10;
64;16;20;11;15;7;13;24;
