Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6;Boat 7
1;1;16;4;8;12;3;15;7;
2;2;6;17;11;10;9;1;5;
3;3;14;21;2;13;19;20;18;
4;1;14;3;5;6;4;20;1;
5;2;12;11;21;7;2;9;15;
6;3;10;13;19;18;16;8;17;
7;1;10;9;4;21;20;8;12;
8;2;2;15;13;17;14;3;6;
9;3;18;16;1;11;5;7;19;
10;1;18;20;1;15;8;17;3;
11;2;11;12;9;5;13;19;14;
12;3;21;2;7;16;6;4;10;
13;1;3;1;7;16;9;5;13;
14;2;8;14;6;18;12;10;2;
15;3;20;19;17;4;15;11;21;
16;1;1;6;13;8;7;11;21;
17;2;5;18;15;2;19;12;20;
18;3;4;10;3;14;17;16;9;
19;1;4;10;3;19;1;2;11;
20;2;15;12;16;6;18;13;9;
21;3;17;7;5;20;21;14;8;
22;1;9;13;2;20;11;3;8;
23;2;19;4;18;7;17;6;12;
24;3;21;16;14;1;10;15;5;
25;1;13;7;12;1;2;17;4;
26;2;11;14;8;21;3;18;16;
27;3;15;19;20;9;10;5;6;
28;1;7;11;20;9;14;18;16;
29;2;8;5;4;17;13;10;15;
30;3;2;21;6;3;12;19;1;
31;1;13;15;18;11;4;14;1;
32;2;16;9;19;8;6;2;17;
33;3;7;20;10;12;5;21;3;
34;1;6;8;14;12;5;4;11;
35;2;3;17;9;13;7;21;19;
36;3;20;18;15;2;1;16;10;
37;1;19;6;15;3;8;14;7;
38;2;20;5;11;4;16;13;2;
39;3;12;1;17;10;21;9;18;
40;1;15;2;17;10;11;7;14;
41;2;9;3;21;5;18;6;4;
42;3;1;8;16;19;20;12;13;
43;1;5;8;9;18;4;7;2;
44;2;13;21;10;14;15;1;19;
45;3;17;6;12;11;16;3;20;
46;1;14;9;4;2;1;19;8;
47;2;6;7;18;13;20;10;3;
48;3;5;11;16;15;21;12;17;
49;1;10;19;16;7;14;12;4;
50;2;1;20;8;9;6;11;15;
51;3;17;3;21;5;18;2;13;
52;1;16;15;21;6;9;4;13;
53;2;18;10;19;3;11;8;5;
54;3;2;14;1;17;12;20;7;
